2022-11-03 18:36:33 startup archives unpack
2022-11-03 18:36:34 upgrade ntfs-3g:amd64 1:2021.8.22-3ubuntu1.1 1:2021.8.22-3ubuntu1.2
2022-11-03 18:36:34 status triggers-pending initramfs-tools:all 0.140ubuntu13
2022-11-03 18:36:34 status half-configured ntfs-3g:amd64 1:2021.8.22-3ubuntu1.1
2022-11-03 18:36:34 status unpacked ntfs-3g:amd64 1:2021.8.22-3ubuntu1.1
2022-11-03 18:36:34 status half-installed ntfs-3g:amd64 1:2021.8.22-3ubuntu1.1
2022-11-03 18:36:34 status triggers-pending man-db:amd64 2.10.2-1
2022-11-03 18:36:34 status unpacked ntfs-3g:amd64 1:2021.8.22-3ubuntu1.2
2022-11-03 18:36:34 upgrade libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.1 1:2021.8.22-3ubuntu1.2
2022-11-03 18:36:34 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2022-11-03 18:36:34 status half-configured libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.1
2022-11-03 18:36:34 status unpacked libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.1
2022-11-03 18:36:34 status half-installed libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.1
2022-11-03 18:36:34 status unpacked libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.2
2022-11-03 18:36:34 startup packages configure
2022-11-03 18:36:34 configure libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.2 <none>
2022-11-03 18:36:34 status unpacked libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.2
2022-11-03 18:36:34 status half-configured libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.2
2022-11-03 18:36:34 status installed libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.2
2022-11-03 18:36:34 configure ntfs-3g:amd64 1:2021.8.22-3ubuntu1.2 <none>
2022-11-03 18:36:34 status unpacked ntfs-3g:amd64 1:2021.8.22-3ubuntu1.2
2022-11-03 18:36:34 status half-configured ntfs-3g:amd64 1:2021.8.22-3ubuntu1.2
2022-11-03 18:36:34 status installed ntfs-3g:amd64 1:2021.8.22-3ubuntu1.2
2022-11-03 18:36:34 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2022-11-03 18:36:34 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2022-11-03 18:36:34 status installed libc-bin:amd64 2.35-0ubuntu3.1
2022-11-03 18:36:34 trigproc man-db:amd64 2.10.2-1 <none>
2022-11-03 18:36:34 status half-configured man-db:amd64 2.10.2-1
2022-11-03 18:36:34 status installed man-db:amd64 2.10.2-1
2022-11-03 18:36:34 trigproc initramfs-tools:all 0.140ubuntu13 <none>
2022-11-03 18:36:34 status half-configured initramfs-tools:all 0.140ubuntu13
2022-11-03 18:36:38 status installed initramfs-tools:all 0.140ubuntu13
2022-11-03 18:36:40 startup archives unpack
2022-11-03 18:36:41 upgrade libpython3.10:amd64 3.10.6-1~22.04 3.10.6-1~22.04.1
2022-11-03 18:36:41 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2022-11-03 18:36:41 status half-configured libpython3.10:amd64 3.10.6-1~22.04
2022-11-03 18:36:41 status unpacked libpython3.10:amd64 3.10.6-1~22.04
2022-11-03 18:36:41 status half-installed libpython3.10:amd64 3.10.6-1~22.04
2022-11-03 18:36:41 status unpacked libpython3.10:amd64 3.10.6-1~22.04.1
2022-11-03 18:36:41 upgrade python3.10:amd64 3.10.6-1~22.04 3.10.6-1~22.04.1
2022-11-03 18:36:41 status half-configured python3.10:amd64 3.10.6-1~22.04
2022-11-03 18:36:41 status unpacked python3.10:amd64 3.10.6-1~22.04
2022-11-03 18:36:41 status half-installed python3.10:amd64 3.10.6-1~22.04
2022-11-03 18:36:41 status triggers-pending mailcap:all 3.70+nmu1ubuntu1
2022-11-03 18:36:41 status triggers-pending gnome-menus:amd64 3.36.0-1ubuntu3
